A=2226 B=6295 C=6826 X=286223694 Y=6076194814 Z=16713636120 M=128
A=8333 B=4089 C=7798 X=480513504 Y=6887544949 Z=25796464996 M=134
A=2745 B=6862 C=8718 X=624470268 Y=1787458118 Z=45517777149 M=144
A=8846 B=6362 C=8201 X=544394468 Y=8974969414 Z=23847934398 M=108
A=9186 B=4808 C=9880 X=260003322 Y=6579840942 Z=45088951257 M=66
A=7284 B=7476 C=7598 X=549948700 Y=5396992555 Z=89631038986 M=52
A=3043 B=3611 C=8643 X=518844558 Y=2822619259 Z=10690350696 M=77
A=4849 B=9973 C=8662 X=369998489 Y=6933430416 Z=22704803494 M=55
A=5845 B=8145 C=6472 X=644360717 Y=2248000800 Z=71066178491 M=107
A=5502 B=3283 C=8664 X=616715934 Y=5403904467 Z=51354563023 M=70
A=2401 B=7985 C=8752 X=131799977 Y=7750275877 Z=21024186939 M=111
A=5862 B=9697 C=9470 X=490212021 Y=9182878645 Z=17389715360 M=158
A=5237 B=7227 C=6335 X=101844177 Y=2722978638 Z=32031329235 M=54
A=8898 B=4206 C=9214 X=713262205 Y=9805286612 Z=25974818783 M=199
A=3275 B=7256 C=5669 X=755529096 Y=5423398894 Z=57041613740 M=148
A=8467 B=7377 C=6977 X=258381866 Y=8431603506 Z=90636940914 M=182
A=9435 B=6680 C=7520 X=840373491 Y=7607272216 Z=92524159402 M=96
A=5889 B=8921 C=7302 X=153193084 Y=1046190580 Z=72236241616 M=62
A=2838 B=9149 C=8048 X=832045504 Y=9414659180 Z=73874623106 M=78
A=7395 B=7149 C=8987 X=717467852 Y=3022907726 Z=13777213264 M=96
A=7360 B=9937 C=5528 X=594263846 Y=3247982124 Z=32954160805 M=100
A=4658 B=3748 C=5775 X=392809749 Y=8346565788 Z=92634277020 M=156
A=9756 B=7313 C=7949 X=800341338 Y=8181570051 Z=51814892484 M=122
A=7550 B=7558 C=7885 X=503352980 Y=1852715978 Z=77861124944 M=159
A=7819 B=8656 C=6565 X=205390203 Y=4944638952 Z=98174971038 M=155
A=3051 B=4887 C=6265 X=856516725 Y=2667127047 Z=18982242500 M=60
A=3938 B=9185 C=6401 X=744217702 Y=2856802847 Z=34195575518 M=96
A=5943 B=3254 C=9724 X=674212730 Y=1425852287 Z=30286401170 M=116
A=6917 B=7436 C=9118 X=484251389 Y=9081049059 Z=82094443535 M=106
A=9900 B=6905 C=6873 X=744360076 Y=4984591612 Z=10690909396 M=150
A=7752 B=4916 C=5927 X=203262357 Y=6106717528 Z=51656416261 M=141
A=3375 B=4077 C=9813 X=834903067 Y=7323383467 Z=45286179626 M=113
A=6392 B=4975 C=7698 X=727623374 Y=2603225751 Z=14264118092 M=60
A=9537 B=3878 C=5963 X=720500380 Y=9546589461 Z=44979657394 M=73
A=5762 B=7150 C=5754 X=822353066 Y=2719908279 Z=93581539456 M=95
A=6670 B=6929 C=7416 X=979491257 Y=9709355145 Z=84373900533 M=99
A=4287 B=7944 C=8626 X=316497170 Y=3031079905 Z=74470384610 M=194
A=4564 B=4574 C=7905 X=707621773 Y=7820903867 Z=28608263347 M=198
A=3995 B=8001 C=8845 X=372726394 Y=5746758378 Z=74598481811 M=147
A=6440 B=5697 C=7738 X=674190727 Y=4662580448 Z=36201110346 M=90
A=2460 B=3416 C=7421 X=852393176 Y=5175479238 Z=39664427949 M=186
A=5692 B=4576 C=6481 X=384769897 Y=2073372443 Z=64340974556 M=55
A=3048 B=5706 C=6264 X=929198010 Y=5292179560 Z=87671027737 M=87
A=6476 B=9367 C=7420 X=252386517 Y=3337941962 Z=68701160685 M=175
A=4940 B=9512 C=6365 X=466259969 Y=9711040771 Z=93923926428 M=114
A=6637 B=6861 C=6185 X=551171065 Y=6359559935 Z=92198265055 M=160
A=3521 B=3932 C=8621 X=175005579 Y=8580341913 Z=92711818746 M=140
A=2158 B=4359 C=5158 X=532004010 Y=2735397183 Z=56743503879 M=190
A=2613 B=9064 C=8337 X=813464240 Y=9339591703 Z=17040863996 M=106
